[2025-04-17 15:01:43.419] [predicting] [info] 本地仿真环境日志
[2025-04-17 15:01:58.419] [predicting] [info] start_point.x =203.78090395558127
[2025-04-17 15:01:58.419] [predicting] [info] start_point.y =-676.8316483875062
[2025-04-17 15:01:58.419] [predicting] [info] start_point.yaw =93.25668451206444
[2025-04-17 15:01:58.419] [predicting] [info] Enter PredictingIntface 
[2025-04-17 15:01:58.420] [predicting] [info] referenceline_relation_.size():0
[2025-04-17 15:01:58.420] [predicting] [info] all_referencelines_.size():51
[2025-04-17 15:01:58.420] [predicting] [info] 进入 PreddictPath 函数
[2025-04-17 15:01:58.420] [predicting] [info] 进入 findCurrentRoad 函数
[2025-04-17 15:01:58.420] [predicting] [info] 当前路径id:73 最近距离：292.1354552373426 角度差：126.31331548793555 最近点纵向距离：195.52582622664715
[2025-04-17 15:01:58.420] [predicting] [info] 当前路径id:74 最近距离：297.5605824716471 角度差：127.49331548793558 最近点纵向距离：200.4366524668883
[2025-04-17 15:01:58.420] [predicting] [info] 当前路径id:75 最近距离：303.1670427435681 角度差：127.52331548793558 最近点纵向距离：200.95522118836482
[2025-04-17 15:01:58.420] [predicting] [info] 当前路径id:76 最近距离：292.1354552373426 角度差：124.51331548793556 最近点纵向距离：188.6114907804266
[2025-04-17 15:01:58.420] [predicting] [info] 当前路径id:77 最近距离：297.5605824716471 角度差：124.39331548793557 最近点纵向距离：188.25001015842537
[2025-04-17 15:01:58.420] [predicting] [info] 当前路径id:78 最近距离：303.1670427435681 角度差：123.99331548793558 最近点纵向距离：186.5975330503443
[2025-04-17 15:01:58.420] [predicting] [info] 当前路径id:79 最近距离：308.53889075883194 角度差：124.93331548793556 最近点纵向距离：190.20653455465427
[2025-04-17 15:01:58.420] [predicting] [info] 当前路径id:80 最近距离：308.53889075883194 角度差：127.28331548793555 最近点纵向距离：200.0078387272123
[2025-04-17 15:01:58.420] [predicting] [info] 当前路径id:81 最近距离：319.6679567458999 角度差：124.67331548793557 最近点纵向距离：189.65339220483293
[2025-04-17 15:01:58.420] [predicting] [info] 当前路径id:82 最近距离：325.682613936445 角度差：124.47331548793554 最近点纵向距离：189.10048479891435
[2025-04-17 15:01:58.420] [predicting] [info] 当前路径id:83 最近距离：313.92577453880426 角度差：124.02331548793556 最近点纵向距离：186.5124208577726
[2025-04-17 15:01:58.420] [predicting] [info] 当前路径id:84 最近距离：256.30510832896624 角度差：178.03331548793557 最近点纵向距离：253.83144241909568
[2025-04-17 15:01:58.420] [predicting] [info] 当前路径id:85 最近距离：304.77158441964696 角度差：125.41331548793556 最近点纵向距离：181.40122515098346
[2025-04-17 15:01:58.420] [predicting] [info] 当前路径id:86 最近距离：304.77158441964696 角度差：125.79331548793562 最近点纵向距离：183.02150668108962
[2025-04-17 15:01:58.420] [predicting] [info] 当前路径id:87 最近距离：304.77158441964696 角度差：125.93331548793554 最近点纵向距离：183.61642693055
[2025-04-17 15:01:58.420] [predicting] [info] 当前路径id:88 最近距离：304.77158441964696 角度差：124.14331548793557 最近点纵向距离：175.92858376689438
[2025-04-17 15:01:58.420] [predicting] [info] 当前路径id:89 最近距离：304.77158441964696 角度差：123.80331548793556 最近点纵向距离：174.4486875663574
[2025-04-17 15:01:58.420] [predicting] [info] 当前路径id:90 最近距离：304.77158441964696 角度差：123.49331548793555 最近点纵向距离：173.09401525218524
[2025-04-17 15:01:58.420] [predicting] [info] 当前路径id:91 最近距离：302.2192107070947 角度差：83.47331548793554 最近点纵向距离：0.6018526283883787
[2025-04-17 15:01:58.421] [predicting] [info] 当前路径id:92 最近距离：507.52756491897446 角度差：113.27331548793555 最近点纵向距离：505.3915486037755
[2025-04-17 15:01:58.421] [predicting] [info] 当前路径id:93 最近距离：502.4795862610028 角度差：66.57668451206447 最近点纵向距离：500.8289281285187
[2025-04-17 15:01:58.421] [predicting] [info] 当前路径id:99 最近距离：762.8133655262137 角度差：11.073315487935561 最近点纵向距离：141.66939030062719
[2025-04-17 15:01:58.421] [predicting] [info] 当前路径id:102 最近距离：245.73642139163942 角度差：187.08331548793558 最近点纵向距离：244.28074429068624
[2025-04-17 15:01:58.421] [predicting] [info] 当前路径id:103 最近距离：389.71528689139257 角度差：50.99331548793557 最近点纵向距离：285.2825387215202
[2025-04-17 15:01:58.421] [predicting] [info] 当前路径id:105 最近距离：327.5099997061272 角度差：15.153315487935563 最近点纵向距离：320.9446313817967
[2025-04-17 15:01:58.421] [predicting] [info] 当前路径id:107 最近距离：32.66378887299731 角度差：151.31331548793557 最近点纵向距离：0.3019940456796011
[2025-04-17 15:01:58.421] [predicting] [info] 当前路径id:108 最近距离：1.289059403729428 角度差：1.7366845120644296 最近点纵向距离：0.13444256105408206
[2025-04-17 15:01:58.421] [predicting] [info] 当前路径id:109 最近距离：36.559399811633185 角度差：58.73668451206445 最近点纵向距离：31.39133261909264
[2025-04-17 15:01:58.421] [predicting] [info] 当前路径id:117 最近距离：246.45884549552375 角度差：8.033315487935573 最近点纵向距离：243.7061740387602
[2025-04-17 15:01:58.421] [predicting] [info] 当前路径id:119 最近距离：256.30510832896624 角度差：178.52331548793555 最近点纵向距离：254.12595592370275
[2025-04-17 15:01:58.421] [predicting] [info] 当前路径id:121 最近距离：328.93652405986995 角度差：196.72331548793557 最近点纵向距离：322.23409018825896
[2025-04-17 15:01:58.421] [predicting] [info] 当前路径id:122 最近距离：245.73642139163942 角度差：187.29331548793556 最近点纵向距离：244.1812145109047
[2025-04-17 15:01:58.421] [predicting] [info] 当前路径id:126 最近距离：771.141041536574 角度差：192.10331548793556 最近点纵向距离：163.70307152313978
[2025-04-17 15:01:58.421] [predicting] [info] 当前路径id:127 最近距离：327.5099997061272 角度差：15.753315487935552 最近点纵向距离：320.24376744442685
[2025-04-17 15:01:58.421] [predicting] [info] 当前路径id:129 最近距离：3.1449893177326316 角度差：1.746684512064429 最近点纵向距离：2.8652777183174143
[2025-04-17 15:01:58.421] [predicting] [info] validRoads.size():2
